2008-01-02|MERVAL|0.0|0.21741252604515|-0.0902964650505865
2008-01-03|MERVAL|-0.0005|0.116426803048771|-0.120746789272122
2008-01-04|MERVAL|-0.0101|-0.749792591788279|-0.869928318615186
2008-01-07|MERVAL|-0.0118|-0.954416864357795|-0.985308943728435
2008-01-08|MERVAL|0.0177|1.84692754792991|1.40210940616738
2008-01-09|MERVAL|-0.024|-2.0827915827034|-1.95397596823296
2008-01-10|MERVAL|-0.0024|-0.0397616492461355|-0.243021642268821
2008-01-11|MERVAL|-0.0008|0.104858503877009|-0.0831927243661736
2008-01-14|MERVAL|0.0237|2.13248387563652|1.98621715989921
2008-01-15|MERVAL|-0.0296|-2.33735032985398|-2.5439449218626
2008-01-16|MERVAL|-0.0017|0.0707205013812156|-0.135377461814176
2008-01-17|MERVAL|-0.0264|-1.8800373641897|-2.10007685326447
2008-01-18|MERVAL|-0.0044|-0.0816422774628398|-0.308299134108151
2008-01-21|MERVAL|-0.0627|-4.39669166541475|-4.70237694032352
2008-01-22|MERVAL|0.0355|2.2146251480719|2.3334058222045
2008-01-23|MERVAL|-0.0269|-1.17190060867582|-1.7076108840503
2008-01-24|MERVAL|0.0398|2.34442048250614|2.50156054374605
2008-01-25|MERVAL|0.0083|0.628908554525126|0.528688970316325
2008-01-28|MERVAL|0.0106|0.737145951378502|0.689466578972036
2008-01-29|MERVAL|0.0|0.185739921123654|0.0168009460594481
2008-01-30|MERVAL|0.0161|0.97261496707139|1.03418979501556
2008-01-31|MERVAL|-0.0142|-0.571328530682804|-0.910135373965237
2008-02-01|MERVAL|0.0189|1.05594298171851|1.25618470057121
2008-02-04|MERVAL|0.0193|1.02719702966304|1.27701298172885
2008-02-05|MERVAL|-0.0143|-0.680051588086674|-0.930396916175179
2008-02-06|MERVAL|-0.0074|-0.303680190207948|-0.451911357274174
2008-02-07|MERVAL|-0.0139|-0.596583683798496|-0.861969894763543
2008-02-08|MERVAL|-0.0092|-0.330798564735401|-0.526101097738499
2008-02-11|MERVAL|0.0043|0.357189355109665|0.344172787609767
2008-02-12|MERVAL|0.0164|0.920840796268185|1.10672890010214
2008-02-13|MERVAL|0.0046|0.312797663256662|0.365733446187292
2008-02-14|MERVAL|-0.0008|0.0470222088897123|0.0253059070229058
2008-02-15|MERVAL|-0.0013|0.0213891773794914|-0.0114492668599785
2008-02-18|MERVAL|0.0105|0.578455808867227|0.761221331796004
2008-02-19|MERVAL|0.0011|0.0891114521395376|0.151487260179788
2008-02-20|MERVAL|0.0058|0.34838695537438|0.460058346117784
2008-02-21|MERVAL|0.0042|0.227925803129991|0.357448808324659
2008-02-22|MERVAL|0.0024|0.121480875969632|0.225741627937518
2008-02-25|MERVAL|0.0155|0.792233380216591|1.097314209429
2008-02-26|MERVAL|0.0144|0.774830904375627|1.0300721018688
2008-02-27|MERVAL|0.0069|0.313193192517959|0.502979616101175
2008-02-28|MERVAL|0.0152|0.764688365830388|1.07524219287187
2008-02-29|MERVAL|-0.0168|-1.15404228384948|-1.1504547198606
2008-03-03|MERVAL|-0.0118|-0.805512122759254|-0.781699469695712
2008-03-04|MERVAL|-0.001|-0.366014463886329|-0.0362128672730571
2008-03-05|MERVAL|0.0223|1.48567373907703|1.55139155155802
2008-03-06|MERVAL|-0.0014|-0.482483459461969|-0.0693409068521705
2008-03-07|MERVAL|-0.0226|-2.4073584587572|-1.51308369143971
2008-03-10|MERVAL|-0.0137|-1.34047171286903|-0.850613123886954
2008-03-11|MERVAL|0.0209|1.56243533350013|1.45802646991306
2008-03-12|MERVAL|-0.0048|-0.555630237041822|-0.253418226921328
2008-03-13|MERVAL|0.0074|0.469018419375961|0.563973816828931
2008-03-14|MERVAL|-0.0153|-1.44242102636582|-0.960737484426124
2008-03-17|MERVAL|-0.0284|-2.39239974266856|-1.78765006181109
2008-03-18|MERVAL|0.012|0.929950697859142|0.839484898241698
2008-03-19|MERVAL|-0.0325|-2.50127513429071|-1.99087521878368
2008-03-25|MERVAL|0.0269|1.83382944056597|1.71053605824208
2008-03-26|MERVAL|0.0056|0.310319059157931|0.429082881009114
2008-03-27|MERVAL|0.0019|0.0311573043315826|0.181769012472179
2008-03-28|MERVAL|0.0029|0.106792545738994|0.258533549553206
2008-03-31|MERVAL|0.0067|0.399717010252185|0.499607529771789
2008-04-01|MERVAL|0.0154|0.996179496117587|1.04513578603074
2008-04-03|MERVAL|0.0077|0.432812924781782|0.552216980481912
2008-04-04|MERVAL|-0.0003|-0.140976884111318|0.0128475479306309
2008-04-07|MERVAL|-0.0027|-0.285216152835659|-0.143958152298936
2008-04-08|MERVAL|0.0058|0.312890000290816|0.406230485030211
2008-04-09|MERVAL|-0.0041|-0.376346869812253|-0.253323103993317
2008-04-10|MERVAL|-0.0067|-0.538030645836945|-0.421830093398217
2008-04-11|MERVAL|-0.0095|-0.704545345051612|-0.605897313672334
2008-04-14|MERVAL|0.0026|0.187667213795392|0.190394343312347
2008-04-15|MERVAL|0.0003|0.0536216842108809|0.0571865520495659
2008-04-16|MERVAL|0.019|1.38584121944511|1.30201747561255
2008-04-17|MERVAL|0.0001|0.0484020531559838|0.0226894787652417
2008-04-18|MERVAL|0.0114|0.833304837204554|0.782743470454213
2008-04-21|MERVAL|0.0069|0.455842246682581|0.472082555158594
2008-04-22|MERVAL|-0.0248|-1.91473359771106|-1.70150400724793
2008-04-23|MERVAL|-0.0031|-0.179292226406871|-0.170636586655516
2008-04-24|MERVAL|-0.0051|-0.320062350735687|-0.304355009164611
